Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1;08-10-2020;11:31:11;11;-;Trovan Unique;0007A383F0;-;00000000;00000000;-;""
2;08-10-2020;11:31:17;11;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
3;08-10-2020;11:31:18;11;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
4;08-10-2020;11:31:18;11;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
5;08-10-2020;11:31:19;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
6;08-10-2020;11:31:19;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
7;08-10-2020;11:31:20;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
8;08-10-2020;11:31:20;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
9;08-10-2020;11:31:20;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
10;08-10-2020;11:31:20;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
11;08-10-2020;11:31:20;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
12;08-10-2020;11:31:21;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
13;08-10-2020;11:31:21;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
14;08-10-2020;11:31:21;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
15;08-10-2020;11:31:21;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
16;08-10-2020;11:31:21;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
17;08-10-2020;11:31:22;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
18;08-10-2020;11:31:22;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
19;08-10-2020;11:31:22;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
20;08-10-2020;11:31:22;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
21;08-10-2020;11:31:22;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
22;08-10-2020;11:31:23;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
23;08-10-2020;11:31:23;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
24;08-10-2020;11:31:23;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
25;08-10-2020;11:31:24;12;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
26;08-10-2020;11:31:25;11;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
27;08-10-2020;11:31:25;11;-;Trovan Unique;0007A5C595;-;00000000;00000000;-;""
