Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
33;02-11-2020;08:59:42;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
34;02-11-2020;08:59:43;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
35;02-11-2020;08:59:43;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
36;02-11-2020;08:59:43;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
37;02-11-2020;08:59:43;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
38;02-11-2020;08:59:43;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
39;02-11-2020;08:59:43;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
40;02-11-2020;08:59:44;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
41;02-11-2020;08:59:44;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
42;02-11-2020;08:59:44;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
43;02-11-2020;08:59:44;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
44;02-11-2020;08:59:44;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
45;02-11-2020;08:59:44;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
46;02-11-2020;08:59:44;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
47;02-11-2020;08:59:45;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
48;02-11-2020;08:59:45;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
49;02-11-2020;08:59:45;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
50;02-11-2020;08:59:45;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
51;02-11-2020;08:59:46;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
52;02-11-2020;08:59:46;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
53;02-11-2020;08:59:46;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
54;02-11-2020;08:59:46;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
55;02-11-2020;08:59:46;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
56;02-11-2020;08:59:46;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
57;02-11-2020;08:59:46;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
58;02-11-2020;08:59:47;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
59;02-11-2020;08:59:47;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
60;02-11-2020;08:59:47;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
61;02-11-2020;08:59:47;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
62;02-11-2020;08:59:48;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
63;02-11-2020;08:59:49;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
64;02-11-2020;08:59:49;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
65;02-11-2020;08:59:49;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
66;02-11-2020;08:59:49;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
67;02-11-2020;08:59:51;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
68;02-11-2020;08:59:51;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
69;02-11-2020;08:59:52;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
70;02-11-2020;08:59:52;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
71;02-11-2020;08:59:53;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
72;02-11-2020;08:59:53;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
73;02-11-2020;08:59:53;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
74;02-11-2020;08:59:53;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
75;02-11-2020;08:59:53;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
76;02-11-2020;08:59:54;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
77;02-11-2020;08:59:54;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
78;02-11-2020;08:59:55;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
79;02-11-2020;08:59:55;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
80;02-11-2020;08:59:55;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
81;02-11-2020;08:59:55;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
82;02-11-2020;09:00:03;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
83;02-11-2020;09:00:03;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
84;02-11-2020;09:00:03;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
85;02-11-2020;09:00:04;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
86;02-11-2020;09:00:04;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
87;02-11-2020;09:00:05;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
88;02-11-2020;09:00:05;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
89;02-11-2020;09:00:05;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
90;02-11-2020;09:00:05;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
91;02-11-2020;09:00:06;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
92;02-11-2020;09:00:06;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
93;02-11-2020;09:00:06;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
94;02-11-2020;09:00:06;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
95;02-11-2020;09:00:06;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
96;02-11-2020;09:00:09;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
97;02-11-2020;09:00:09;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
98;02-11-2020;09:00:09;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
99;02-11-2020;09:00:10;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
100;02-11-2020;09:00:10;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
101;02-11-2020;09:00:10;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
102;02-11-2020;09:00:11;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
103;02-11-2020;09:00:11;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
104;02-11-2020;09:00:11;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
105;02-11-2020;09:00:12;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
106;02-11-2020;09:00:12;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
107;02-11-2020;09:00:12;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
108;02-11-2020;09:00:13;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
109;02-11-2020;09:00:21;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
110;02-11-2020;09:00:21;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
111;02-11-2020;09:00:23;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
112;02-11-2020;09:00:23;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
113;02-11-2020;09:00:23;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
114;02-11-2020;09:00:24;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
115;02-11-2020;09:00:25;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
116;02-11-2020;09:00:27;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
