Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
33042;03-11-2020;09:14:18;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33043;03-11-2020;09:14:19;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33044;03-11-2020;09:14:19;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33045;03-11-2020;09:14:19;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33046;03-11-2020;09:14:19;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33047;03-11-2020;09:14:22;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33048;03-11-2020;09:14:22;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33049;03-11-2020;09:14:23;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33050;03-11-2020;09:14:29;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33051;03-11-2020;09:14:30;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33052;03-11-2020;09:14:30;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33053;03-11-2020;09:14:30;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33054;03-11-2020;09:14:30;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33055;03-11-2020;09:14:31;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33056;03-11-2020;09:14:31;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33057;03-11-2020;09:14:31;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33058;03-11-2020;09:14:31;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33059;03-11-2020;09:14:31;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33060;03-11-2020;09:14:40;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33061;03-11-2020;09:14:41;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33062;03-11-2020;09:14:41;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33063;03-11-2020;09:14:41;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33064;03-11-2020;09:14:41;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33065;03-11-2020;09:14:42;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33066;03-11-2020;09:15:11;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33067;03-11-2020;09:15:12;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33068;03-11-2020;09:15:13;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33069;03-11-2020;09:15:13;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33070;03-11-2020;09:15:14;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33071;03-11-2020;09:15:14;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33072;03-11-2020;09:15:29;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33073;03-11-2020;09:15:29;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33074;03-11-2020;09:15:29;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33075;03-11-2020;09:15:30;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33076;03-11-2020;09:15:33;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33077;03-11-2020;09:15:34;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33078;03-11-2020;09:15:34;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33079;03-11-2020;09:15:37;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33080;03-11-2020;09:15:37;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33081;03-11-2020;09:15:37;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33082;03-11-2020;09:15:38;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33083;03-11-2020;09:15:39;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33084;03-11-2020;09:15:40;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33085;03-11-2020;09:15:40;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33086;03-11-2020;09:15:40;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33087;03-11-2020;09:15:48;31;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33088;03-11-2020;09:15:48;31;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33089;03-11-2020;09:15:49;31;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33090;03-11-2020;09:15:53;32;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33091;03-11-2020;09:15:53;32;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33092;03-11-2020;09:15:53;32;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33093;03-11-2020;09:15:57;33;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33094;03-11-2020;09:15:57;33;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33095;03-11-2020;09:15:58;33;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33096;03-11-2020;09:15:59;35;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33097;03-11-2020;09:15:59;35;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33098;03-11-2020;09:16:00;35;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33099;03-11-2020;09:16:07;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33100;03-11-2020;09:16:07;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33101;03-11-2020;09:16:08;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33102;03-11-2020;09:16:10;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33103;03-11-2020;09:16:11;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33104;03-11-2020;09:16:12;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33105;03-11-2020;09:16:16;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33106;03-11-2020;09:16:17;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33107;03-11-2020;09:16:18;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33108;03-11-2020;09:16:20;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33109;03-11-2020;09:16:20;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33110;03-11-2020;09:16:21;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33111;03-11-2020;09:30:26;21;-;Trovan Unique;0007A4B9DA;-;00000000;00000000;-;""
33112;03-11-2020;09:30:26;21;-;Trovan Unique;0007E98C8B;-;00000000;00000000;-;""
33113;03-11-2020;09:30:27;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33114;03-11-2020;09:30:27;21;-;Trovan Unique;0007A65BA3;-;00000000;00000000;-;""
33115;03-11-2020;09:30:27;21;-;Trovan Unique;0007A65BA3;-;00000000;00000000;-;""
33116;03-11-2020;09:30:30;22;-;Trovan Unique;0007E50C44;-;00000000;00000000;-;""
