Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
201239;05-11-2020;09:17:14;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201240;05-11-2020;09:17:15;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201241;05-11-2020;09:17:15;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201242;05-11-2020;09:17:16;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201243;05-11-2020;09:17:17;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201244;05-11-2020;09:17:18;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201245;05-11-2020;09:17:20;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201246;05-11-2020;09:17:21;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201247;05-11-2020;09:17:21;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201248;05-11-2020;09:17:23;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201249;05-11-2020;09:17:23;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201250;05-11-2020;09:17:24;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201251;05-11-2020;09:17:25;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201252;05-11-2020;09:17:28;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201253;05-11-2020;09:17:29;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201254;05-11-2020;09:17:29;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201255;05-11-2020;09:17:34;35;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201256;05-11-2020;09:17:35;35;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201257;05-11-2020;09:17:36;35;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201258;05-11-2020;09:17:39;31;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201259;05-11-2020;09:17:39;31;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201260;05-11-2020;09:17:40;31;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201261;05-11-2020;09:17:42;32;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201262;05-11-2020;09:17:42;32;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201263;05-11-2020;09:17:45;33;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201264;05-11-2020;09:17:45;33;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201265;05-11-2020;09:17:46;33;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201266;05-11-2020;09:17:51;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201267;05-11-2020;09:17:51;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201268;05-11-2020;09:17:51;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201269;05-11-2020;09:17:51;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201270;05-11-2020;09:17:52;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201271;05-11-2020;09:17:53;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201272;05-11-2020;09:17:53;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201273;05-11-2020;09:17:54;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201274;05-11-2020;09:17:54;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201275;05-11-2020;09:17:54;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201276;05-11-2020;09:17:54;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201277;05-11-2020;09:17:57;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201278;05-11-2020;09:17:57;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201279;05-11-2020;09:17:58;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
201280;05-11-2020;09:17:58;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
