Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
202047;09-11-2020;09:22:03;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202048;09-11-2020;09:22:05;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202049;09-11-2020;09:22:05;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202050;09-11-2020;09:22:05;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202051;09-11-2020;09:22:05;11;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202052;09-11-2020;09:22:06;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202053;09-11-2020;09:22:07;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202054;09-11-2020;09:22:07;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202055;09-11-2020;09:22:07;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202056;09-11-2020;09:22:08;14;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202057;09-11-2020;09:22:09;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202058;09-11-2020;09:22:09;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202059;09-11-2020;09:22:09;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202060;09-11-2020;09:22:10;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202061;09-11-2020;09:22:10;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202062;09-11-2020;09:22:10;13;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202063;09-11-2020;09:22:13;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202064;09-11-2020;09:22:13;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202065;09-11-2020;09:22:14;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202066;09-11-2020;09:22:14;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202067;09-11-2020;09:22:14;12;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202068;09-11-2020;09:22:17;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202069;09-11-2020;09:22:17;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202070;09-11-2020;09:22:17;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202071;09-11-2020;09:22:18;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202072;09-11-2020;09:22:18;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202073;09-11-2020;09:22:18;21;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202074;09-11-2020;09:22:21;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202075;09-11-2020;09:22:21;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202076;09-11-2020;09:22:22;22;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202077;09-11-2020;09:22:28;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202078;09-11-2020;09:22:28;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202079;09-11-2020;09:22:29;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202080;09-11-2020;09:22:29;24;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202081;09-11-2020;09:22:31;23;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
