"row" "x" "id" "date" "time" "antenna" "Time_of_day"
"1" "420" "0007A05274" "2020-11-17" "12:42:28" "2" "Afternoon"
"2" "421" "0007A05274" "2020-11-17" "12:42:29" "2" "Afternoon"
"3" "422" "0007A5DCCA" "2020-11-17" "12:42:29" "2" "Afternoon"
"4" "423" "0007A5DCCA" "2020-11-17" "12:42:30" "2" "Afternoon"
"5" "424" "0007EA009A" "2020-11-17" "12:42:31" "2" "Afternoon"
"6" "425" "0007E04FF8" "2020-11-17" "12:42:32" "2" "Afternoon"
"7" "426" "0007E04FF8" "2020-11-17" "12:42:33" "2" "Afternoon"
"8" "427" "0007A05274" "2020-11-17" "12:42:47" "1" "Afternoon"
"9" "428" "0007A05274" "2020-11-17" "12:42:48" "1" "Afternoon"
"10" "429" "0007E04FF8" "2020-11-17" "12:42:49" "1" "Afternoon"
"11" "430" "0007A05274" "2020-11-17" "12:42:51" "2" "Afternoon"
"12" "431" "0007A05274" "2020-11-17" "12:42:52" "2" "Afternoon"
"13" "432" "0007A05274" "2020-11-17" "12:42:53" "2" "Afternoon"
"14" "433" "0007E04FF8" "2020-11-17" "12:42:54" "2" "Afternoon"
"15" "434" "0007E04FF8" "2020-11-17" "12:42:55" "2" "Afternoon"
"16" "435" "0007E04FF8" "2020-11-17" "12:42:56" "2" "Afternoon"
"17" "436" "0007E04FF8" "2020-11-17" "12:42:57" "2" "Afternoon"
"18" "437" "0007E04FF8" "2020-11-17" "12:42:58" "2" "Afternoon"
"19" "438" "0007A05274" "2020-11-17" "12:43:02" "2" "Afternoon"
"20" "439" "0007A05274" "2020-11-17" "12:43:03" "2" "Afternoon"
"21" "440" "0007A05274" "2020-11-17" "12:43:04" "2" "Afternoon"
"22" "441" "0007A05274" "2020-11-17" "12:43:06" "2" "Afternoon"
"23" "442" "0007A05274" "2020-11-17" "12:43:07" "2" "Afternoon"
"24" "443" "0007A05274" "2020-11-17" "12:43:08" "2" "Afternoon"
"25" "444" "0007A05274" "2020-11-17" "12:43:09" "2" "Afternoon"
"26" "445" "0007A05274" "2020-11-17" "12:43:10" "2" "Afternoon"
"27" "446" "0007A05274" "2020-11-17" "12:43:11" "2" "Afternoon"
"28" "447" "0007A05274" "2020-11-17" "12:43:12" "2" "Afternoon"
"29" "448" "0007A05274" "2020-11-17" "12:43:13" "2" "Afternoon"
"30" "449" "0007A05274" "2020-11-17" "12:43:14" "2" "Afternoon"
"31" "450" "0007A05274" "2020-11-17" "12:43:15" "2" "Afternoon"
"32" "451" "0007A05274" "2020-11-17" "12:43:16" "2" "Afternoon"
"33" "452" "0007A05274" "2020-11-17" "12:43:17" "2" "Afternoon"
"34" "453" "0007A05274" "2020-11-17" "12:43:18" "2" "Afternoon"
"35" "454" "0007A05274" "2020-11-17" "12:43:19" "2" "Afternoon"
"36" "455" "0007A05274" "2020-11-17" "12:43:20" "2" "Afternoon"
"37" "456" "0007A05274" "2020-11-17" "12:43:21" "2" "Afternoon"
"38" "457" "0007A05274" "2020-11-17" "12:43:22" "2" "Afternoon"
"39" "458" "0007A05274" "2020-11-17" "12:43:23" "2" "Afternoon"
"40" "459" "0007A05274" "2020-11-17" "12:43:24" "2" "Afternoon"
"41" "460" "0007A05274" "2020-11-17" "12:43:25" "2" "Afternoon"
"42" "461" "0007A05274" "2020-11-17" "12:43:26" "2" "Afternoon"
"43" "462" "0007A05274" "2020-11-17" "12:43:27" "2" "Afternoon"
"44" "463" "0007A05274" "2020-11-17" "12:43:28" "2" "Afternoon"
"45" "464" "0007A05274" "2020-11-17" "12:43:29" "2" "Afternoon"
"46" "465" "0007A05274" "2020-11-17" "12:43:30" "2" "Afternoon"
"47" "466" "0007A05274" "2020-11-17" "12:43:31" "2" "Afternoon"
"48" "467" "0007A05274" "2020-11-17" "12:43:32" "2" "Afternoon"
"49" "468" "0007A05274" "2020-11-17" "12:43:33" "2" "Afternoon"
"50" "469" "0007A05274" "2020-11-17" "12:43:34" "2" "Afternoon"
"51" "470" "0007A05274" "2020-11-17" "12:43:35" "2" "Afternoon"
"52" "471" "0007A05274" "2020-11-17" "12:43:36" "2" "Afternoon"
"53" "472" "0007A05274" "2020-11-17" "12:43:37" "2" "Afternoon"
"54" "473" "0007A05274" "2020-11-17" "12:43:38" "2" "Afternoon"
"55" "474" "0007A05274" "2020-11-17" "12:43:39" "2" "Afternoon"
"56" "475" "0007A05274" "2020-11-17" "12:43:40" "2" "Afternoon"
"57" "476" "0007A05274" "2020-11-17" "12:43:41" "2" "Afternoon"
"58" "477" "0007A05274" "2020-11-17" "12:43:42" "2" "Afternoon"
"59" "478" "0007A05274" "2020-11-17" "12:43:43" "2" "Afternoon"
"60" "479" "0007A05274" "2020-11-17" "12:43:44" "2" "Afternoon"
"61" "480" "0007A05274" "2020-11-17" "12:43:45" "2" "Afternoon"
"62" "481" "0007A05274" "2020-11-17" "12:43:46" "2" "Afternoon"
"63" "482" "0007A05274" "2020-11-17" "12:43:47" "2" "Afternoon"
"64" "483" "0007A05274" "2020-11-17" "12:43:48" "2" "Afternoon"
"65" "484" "0007A05274" "2020-11-17" "12:43:49" "2" "Afternoon"
"66" "485" "0007A05274" "2020-11-17" "12:43:50" "2" "Afternoon"
"67" "486" "0007A05274" "2020-11-17" "12:43:51" "2" "Afternoon"
"68" "487" "0007A05274" "2020-11-17" "12:43:59" "2" "Afternoon"
"69" "488" "0007A05274" "2020-11-17" "12:44:00" "2" "Afternoon"
"70" "489" "0007A05274" "2020-11-17" "12:44:01" "2" "Afternoon"
"71" "490" "0007A05274" "2020-11-17" "12:44:02" "2" "Afternoon"
"72" "491" "0007A05274" "2020-11-17" "12:44:03" "2" "Afternoon"
"73" "492" "0007A05274" "2020-11-17" "12:44:04" "2" "Afternoon"
"74" "493" "0007A05274" "2020-11-17" "12:44:05" "2" "Afternoon"
"75" "494" "0007A05274" "2020-11-17" "12:44:06" "2" "Afternoon"
