Identifier,Date,Time,Unit number,Antenna number,Transponder type,Transponder code,Weight,Input status,Output status,Event,GPS coordinates
14354,14/04/2020,00:02:11,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14355,14/04/2020,00:02:12,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14356,14/04/2020,00:02:13,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14357,14/04/2020,00:02:13,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14358,14/04/2020,00:02:14,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14359,14/04/2020,00:02:15,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14360,14/04/2020,00:02:15,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14361,14/04/2020,00:02:16,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14362,14/04/2020,00:02:17,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14363,14/04/2020,00:02:17,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14364,14/04/2020,00:02:34,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14365,14/04/2020,00:02:40,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14366,14/04/2020,00:02:41,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14367,14/04/2020,00:02:42,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14368,14/04/2020,00:02:42,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14369,14/04/2020,00:02:43,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14370,14/04/2020,00:02:58,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14371,14/04/2020,00:02:59,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14372,14/04/2020,00:02:59,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14373,14/04/2020,00:04:02,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14374,14/04/2020,00:04:03,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14375,14/04/2020,00:04:04,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14376,14/04/2020,00:04:04,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14377,14/04/2020,00:04:05,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14378,14/04/2020,00:04:05,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14379,14/04/2020,00:04:06,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14380,14/04/2020,00:04:07,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14381,14/04/2020,00:04:07,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14382,14/04/2020,00:04:08,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14383,14/04/2020,00:04:09,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14384,14/04/2020,00:04:42,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14385,14/04/2020,00:04:43,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14386,14/04/2020,00:04:43,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14387,14/04/2020,00:04:44,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14388,14/04/2020,00:04:45,43,-,Trovan Unique,0007A5D910,-,0,0,-,
14389,14/04/2020,00:05:02,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14390,14/04/2020,00:05:06,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14391,14/04/2020,00:05:06,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14392,14/04/2020,00:05:07,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14393,14/04/2020,00:05:08,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14394,14/04/2020,00:08:40,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14395,14/04/2020,00:08:41,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14396,14/04/2020,00:08:41,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14397,14/04/2020,00:11:46,44,-,Trovan Unique,0007A5D910,-,0,0,-,
14398,14/04/2020,00:16:01,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14399,14/04/2020,00:16:02,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14400,14/04/2020,00:16:02,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14401,14/04/2020,00:16:03,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14402,14/04/2020,00:16:04,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14403,14/04/2020,00:16:04,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14404,14/04/2020,00:16:08,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14405,14/04/2020,00:16:09,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14406,14/04/2020,00:16:10,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14407,14/04/2020,00:16:10,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14408,14/04/2020,00:16:11,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14409,14/04/2020,00:16:11,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14410,14/04/2020,00:16:12,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14411,14/04/2020,00:16:13,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14412,14/04/2020,00:16:13,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14413,14/04/2020,00:16:14,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14414,14/04/2020,00:16:15,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14415,14/04/2020,00:16:15,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14416,14/04/2020,00:16:16,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14417,14/04/2020,00:16:17,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14418,14/04/2020,00:16:17,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14419,14/04/2020,00:17:22,42,-,Trovan Unique,0007A5C777,-,0,0,-,
14420,14/04/2020,00:17:23,42,-,Trovan Unique,0007A5C777,-,0,0,-,
14421,14/04/2020,00:20:26,41,-,Trovan Unique,0007A5DF09,-,0,0,-,
14422,14/04/2020,00:23:03,35,-,Trovan Unique,0007A5DF09,-,0,0,-,
14423,14/04/2020,00:28:53,32,-,Trovan Unique,0007A5CEFA,-,0,0,-,
14424,14/04/2020,00:36:33,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14425,14/04/2020,00:36:34,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14426,14/04/2020,00:43:23,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14427,14/04/2020,00:43:24,43,-,Trovan Unique,0007A5C777,-,0,0,-,
14428,14/04/2020,00:45:34,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14429,14/04/2020,00:45:34,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14430,14/04/2020,00:45:35,43,-,Trovan Unique,0007A5DC7A,-,0,0,-,
14431,14/04/2020,00:47:06,44,-,Trovan Unique,0007A5D910,-,0,0,-,
