,tag_ID,status,test_id,pond_crosses
2,00079FEB77,Resident,noflow1,0
3,0007A34309,Resident,noflow1,11
4,0007A35EBD,Resident,noflow1,1
5,0007A383F0,Resident,noflow1,0
6,0007A384B2,Resident,noflow1,0
7,0007A387B9,Resident,noflow1,0
8,0007A38814,Migrant,noflow1,3
9,0007A38960,Resident,noflow1,2
10,0007A39150,Resident,noflow1,12
11,0007A39373,Resident,noflow1,0
12,0007A394D5,Resident,noflow1,0
13,0007A39518,Migrant,noflow1,4
14,0007A39A35,Resident,noflow1,1
15,0007A39DD1,Resident,noflow1,7
16,0007A3A506,Resident,noflow1,11
17,0007A3A5A6,Resident,noflow1,6
18,0007A3AA3B,Resident,noflow1,13
19,0007A3BDAC,Resident,noflow1,1
20,0007A3C9DB,Resident,noflow1,2
21,0007A3CCB5,Resident,noflow1,0
22,0007A3EEDC,Migrant,noflow1,68
23,0007A3EFD0,Resident,noflow1,0
24,0007A3F139,Resident,noflow1,2
25,0007A3F311,Resident,noflow1,0
26,0007A3F525,Resident,noflow1,0
27,0007A57907,Migrant,noflow1,0
28,0007A5A140,Migrant,noflow1,0
29,0007A5A76E,Resident,noflow1,20
30,0007A5A864,Migrant,noflow1,19
31,0007A5A998,Migrant,noflow1,21
313,0007A39518,Migrant,flow2,0
33,0007A5C6A2,Migrant,noflow1,33
34,0007A5C6D8,Resident,noflow1,1
35,0007A5C6E2,Migrant,noflow1,58
36,0007A5C773,Resident,noflow1,0
37,0007A5C777,Migrant,noflow1,24
38,0007A5C7E7,Resident,noflow1,1
39,0007A5C810,Migrant,noflow1,5
40,0007A5C865,Migrant,noflow1,24
41,0007A5C910,Resident,noflow1,0
42,0007A5C9A3,Resident,noflow1,0
43,0007A5C9B3,Resident,noflow1,19
44,0007A5C9CD,Resident,noflow1,8
45,0007A5CA53,Resident,noflow1,3
46,0007A5CAE6,Migrant,noflow1,72
47,0007A5CB15,Migrant,noflow1,0
48,0007A5CB4B,Resident,noflow1,1
49,0007A5CC34,Resident,noflow1,4
50,0007A5CC48,Migrant,noflow1,22
51,0007A5CC94,Resident,noflow1,0
52,0007A5CCFC,Resident,noflow1,6
53,0007A5CD6E,Migrant,noflow1,22
54,0007A5CDBA,Migrant,noflow1,9
55,0007A5CDC7,Resident,noflow1,1
56,0007A5CE03,Migrant,noflow1,22
57,0007A5CE1B,Migrant,noflow1,26
58,0007A5CE72,Resident,noflow1,1
59,0007A5CEBD,Migrant,noflow1,2
60,0007A5CEFA,Migrant,noflow1,87
61,0007A5CF6C,Resident,noflow1,39
62,0007A5D107,Migrant,noflow1,8
63,0007A5D10C,Migrant,noflow1,124
64,0007A5D10D,Resident,noflow1,0
65,0007A5D10E,Migrant,noflow1,44
66,0007A5D11C,Migrant,noflow1,25
67,0007A5D122,Migrant,noflow1,8
68,0007A5D1AF,Migrant,noflow1,35
69,0007A5D36A,Resident,noflow1,0
70,0007A5D3A7,Migrant,noflow1,24
71,0007A5D467,Resident,noflow1,11
72,0007A5D487,Migrant,noflow1,58
73,0007A5D49C,Migrant,noflow1,0
74,0007A5D4F9,Migrant,noflow1,51
75,0007A5D530,Migrant,noflow1,1
76,0007A5D56F,Resident,noflow1,1
77,0007A5D575,Resident,noflow1,7
78,0007A5D670,Migrant,noflow1,0
79,0007A5D781,Migrant,noflow1,68
80,0007A5D83B,Resident,noflow1,3
81,0007A5D8AB,Migrant,noflow1,14
82,0007A5D8B1,Resident,noflow1,11
221,0007A3CCB5,Resident,noflow2,0
84,0007A5D8EE,Resident,noflow1,0
85,0007A5D910,Migrant,noflow1,20
86,0007A5D940,Migrant,noflow1,66
87,0007A5D995,Migrant,noflow1,0
88,0007A5DA33,Resident,noflow1,15
89,0007A5DA3E,Resident,noflow1,11
90,0007A5DA82,Migrant,noflow1,12
91,0007A5DBB1,Migrant,noflow1,1
92,0007A5DC3E,Migrant,noflow1,0
93,0007A5DC7A,Migrant,noflow1,30
94,0007A5DCE6,Resident,noflow1,1
95,0007A5DD1F,Migrant,noflow1,5
96,0007A5DE00,Resident,noflow1,0
97,0007A5DE97,Migrant,noflow1,0
98,0007A5DEAF,Migrant,noflow1,10
99,0007A5DF09,Migrant,noflow1,20
100,0007A5DF18,Resident,noflow1,1
324,0007A3F139,Resident,flow2,0
102,00079FEB77,Resident,flow1,0
103,0007A34309,Resident,flow1,4
104,0007A35EBD,Resident,flow1,3
105,0007A383F0,Resident,flow1,12
106,0007A384B2,Resident,flow1,0
107,0007A387B9,Resident,flow1,0
108,0007A38814,Migrant,flow1,2
109,0007A38960,Resident,flow1,2
110,0007A39150,Resident,flow1,7
111,0007A39373,Resident,flow1,4
112,0007A394D5,Resident,flow1,0
113,0007A39518,Migrant,flow1,0
114,0007A39A35,Resident,flow1,40
115,0007A39DD1,Resident,flow1,1
116,0007A3A506,Resident,flow1,6
117,0007A3A5A6,Resident,flow1,0
118,0007A3AA3B,Resident,flow1,89
119,0007A3BDAC,Resident,flow1,1
120,0007A3C9DB,Resident,flow1,1
121,0007A3CCB5,Resident,flow1,0
122,0007A3EEDC,Migrant,flow1,100
123,0007A3EFD0,Resident,flow1,3
124,0007A3F139,Resident,flow1,0
125,0007A3F311,Resident,flow1,0
126,0007A3F525,Resident,flow1,0
127,0007A57907,Migrant,flow1,16
128,0007A5A140,Migrant,flow1,1
129,0007A5A76E,Resident,flow1,10
130,0007A5A864,Migrant,flow1,43
131,0007A5A998,Migrant,flow1,19
132,0007A5C595,Resident,flow1,0
133,0007A5C6A2,Migrant,flow1,51
134,0007A5C6D8,Resident,flow1,6
135,0007A5C6E2,Migrant,flow1,58
136,0007A5C773,Resident,flow1,0
137,0007A5C777,Migrant,flow1,66
138,0007A5C7E7,Resident,flow1,10
139,0007A5C810,Migrant,flow1,15
140,0007A5C865,Migrant,flow1,39
141,0007A5C910,Resident,flow1,0
142,0007A5C9A3,Resident,flow1,0
143,0007A5C9B3,Resident,flow1,35
144,0007A5C9CD,Resident,flow1,6
145,0007A5CA53,Resident,flow1,0
146,0007A5CAE6,Migrant,flow1,50
147,0007A5CB15,Migrant,flow1,15
148,0007A5CB4B,Resident,flow1,6
149,0007A5CC34,Resident,flow1,11
150,0007A5CC48,Migrant,flow1,47
151,0007A5CC94,Resident,flow1,0
152,0007A5CCFC,Resident,flow1,0
153,0007A5CD6E,Migrant,flow1,76
154,0007A5CDBA,Migrant,flow1,47
155,0007A5CDC7,Resident,flow1,1
156,0007A5CE03,Migrant,flow1,28
157,0007A5CE1B,Migrant,flow1,52
158,0007A5CE72,Resident,flow1,0
159,0007A5CEBD,Migrant,flow1,0
160,0007A5CEFA,Migrant,flow1,56
161,0007A5CF6C,Resident,flow1,43
