"","tag_id","test_id","unique_exp_antenna","unique_bold_antenna","latency_exp1","latency_exp2","latency_exp3","latency_exp4","latency_exp5","latency_bold1","latency_bold2","latency_bold3","latency_bold4"
"1","0007A39518","mixed1","5","4","0.00472222222222222","0.0788888888888889","0.639166666666667","0.842777777777778","2.67222222222222","0.8725","0.995555555555556","1.05722222222222","1.47777777777778"
"2","0007A5D10D","mixed1","5","3","0.005","0.0822222222222222","0.145555555555556","0.2225","1.69583333333333","0.552777777777778","2.52222222222222","2.53111111111111",NA
"3","0007A5CEBD","mixed1","4","4","0.0252777777777778","0.0733333333333333","0.116944444444444","0.949722222222222",NA,"1.51111111111111","1.61055555555556","3.84222222222222","4.00194444444444"
"4","0007A5CEFA","mixed1","5","1","0.0483333333333333","0.3975","0.4875","1.61027777777778","3.38694444444444","1.90277777777778",NA,NA,NA
"5","0007A5DBB1","mixed1","5","4","0.0769444444444444","0.154444444444444","0.408055555555556","0.453888888888889","0.492777777777778","0.0605555555555556","0.304722222222222","2.35111111111111","3.48444444444444"
"6","0007A387B9","mixed1","5","4","0.538333333333333","0.545","0.711111111111111","1.61333333333333","1.65111111111111","0.0666666666666667","1.45166666666667","2.71555555555556","2.73027777777778"
"7","0007A35EBD","mixed1","5","2","0.0669444444444444","0.153888888888889","1.03472222222222","1.15277777777778","1.33","1.59472222222222","3.84944444444444",NA,NA
"8","0007A3CCB5","mixed1","5","4","0.0711111111111111","0.0858333333333333","0.449444444444444","0.611666666666667","3.21083333333333","0.519722222222222","1.69305555555556","1.73555555555556","1.91916666666667"
"9","0007A5CE03","mixed1","5","1","0.0719444444444444","0.105","0.108888888888889","0.553888888888889","3.44055555555556","3.44944444444444",NA,NA,NA
"10","0007A5C6E2","mixed1","4","0","0.0730555555555556","0.103055555555556","1.03083333333333","2.57583333333333",NA,NA,NA,NA,NA
"11","0007A3A5A6","mixed1","5","4","0.0794444444444444","0.730555555555556","0.808333333333333","1.0575","1.81722222222222","1.38888888888889","1.82194444444444","2.07027777777778","2.67166666666667"
"12","0007A5D530","mixed1","5","4","0.0830555555555555","0.181666666666667","0.641944444444444","0.825277777777778","1.13","0.415277777777778","1.09527777777778","3.035","3.41805555555556"
"13","0007A3F311","mixed1","5","4","0.0927777777777778","1.30916666666667","1.5575","2.11861111111111","3.59083333333333","1.91888888888889","1.92111111111111","2.88194444444444","3.03"
"14","0007A5D4F9","mixed1","4","1","0.0966666666666667","0.574444444444444","0.686666666666667","0.879444444444444",NA,"0.406666666666667",NA,NA,NA
"15","0007A34309","mixed1","5","4","0.0991666666666667","0.173611111111111","0.203611111111111","0.704722222222222","4.99083333333333","0.299444444444444","0.463611111111111","3.68916666666667","4.96333333333333"
"16","0007A5D940","mixed1","5","1","0.101388888888889","0.118611111111111","0.709444444444445","0.841944444444444","1.00305555555556","2.74944444444444",NA,NA,NA
"17","0007A57907","mixed1","5","0","0.181944444444444","0.195833333333333","0.220833333333333","1.62555555555556","2.26361111111111",NA,NA,NA,NA
"18","0007A3EFD0","mixed1","2","2","0.527222222222222","2.40111111111111",NA,NA,NA,"0.2","0.259444444444444",NA,NA
"19","00079FEB77","mixed1","5","4","0.221111111111111","0.295277777777778","0.308333333333333","0.624166666666667","0.751388888888889","1.06972222222222","1.10472222222222","1.27055555555556","1.36638888888889"
"20","0007A38960","mixed1","5","4","0.417777777777778","0.453055555555556","0.491111111111111","1.95972222222222","2.32944444444444","0.870555555555556","0.947777777777778","1.08888888888889","4.79027777777778"
"21","0007A5D8EE","mixed2","5","4","0.0169444444444444","0.4125","0.564166666666667","0.572777777777778","0.638611111111111","0.0397222222222222","0.255","0.6875","3.24805555555556"
"22","0007A5C773","mixed2","5","4","0.0275","0.411944444444444","0.414166666666667","1.11805555555556","1.81444444444444","0.251111111111111","3.41055555555556","3.505","3.67361111111111"
"23","0007A5DA33","mixed2","5","0","0.0408333333333333","0.609444444444444","1.71138888888889","2.70972222222222","3.13027777777778",NA,NA,NA,NA
"24","0007A5A140","mixed2","5","3","0.0525","0.250833333333333","0.273888888888889","0.29","1.13583333333333","0.208333333333333","2.72194444444444","2.73277777777778",NA
"25","0007A5DC7A","mixed2","3","1","0.0538888888888889","0.754722222222222","2.85722222222222",NA,NA,"0.483611111111111",NA,NA,NA
"26","0007A3BDAC","mixed2","1","4","1.95722222222222",NA,NA,NA,NA,"0.0572222222222222","0.186666666666667","0.604722222222222","2.84222222222222"
"27","0007A5DF09","mixed2","4","2","0.0644444444444444","0.943888888888889","2.17277777777778","4.24138888888889",NA,"3.70388888888889","4.48222222222222",NA,NA
"28","0007A3F139","mixed2","5","4","0.138888888888889","0.15","0.181111111111111","0.192222222222222","0.328888888888889","0.0827777777777778","0.125277777777778","0.161666666666667","0.230555555555556"
"29","0007A5CAE6","mixed2","5","4","0.0877777777777778","0.229722222222222","0.3825","0.395833333333333","0.701388888888889","0.122777777777778","0.205555555555556","0.345833333333333","0.564166666666667"
"30","0007A5CD6E","mixed2","5","4","1.24222222222222","1.34083333333333","2.92027777777778","4.39222222222222","4.44111111111111","0.0983333333333333","0.252222222222222","0.426388888888889","0.928055555555556"
"31","0007A5D910","mixed2","5","1","0.150833333333333","0.221944444444444","0.23","2.44027777777778","2.88277777777778","0.100277777777778",NA,NA,NA
"32","0007A5C9A3","mixed2","5","4","0.244722222222222","0.274444444444444","0.289444444444444","0.819722222222222","0.829444444444444","3.82555555555556","3.83055555555556","3.83638888888889","3.87444444444444"
"33","0007A3F525","mixed2","3","4","1.54472222222222","4.35583333333333","4.45805555555556",NA,NA,"0.250555555555556","2.73805555555556","2.74722222222222","4.25416666666667"
"34","0007A5CE08","mixed2","5","4","0.396111111111111","0.480833333333333","0.5725","0.742777777777778","1.26888888888889","0.283333333333333","0.4575","0.638611111111111","1.98388888888889"
"35","0007A39A35","mixed2","4","4","0.341944444444444","1.35694444444444","2.11222222222222","2.25",NA,"2.71388888888889","2.81916666666667","3.00027777777778","3.22305555555556"
"36","0007A5C777","mixed2","5","4","0.946388888888889","0.991388888888889","1.7225","2.18055555555556","2.70777777777778","3.59444444444444","3.6525","4.72611111111111","4.9375"
"37","0007A5D10E","mixed2","1","0","2.06",NA,NA,NA,NA,NA,NA,NA,NA
"38","0007A5DC3E","mixed3","5","3","0.0352777777777778","0.0561111111111111","0.0633333333333333","0.505833333333333","0.511666666666667","0.109444444444444","0.821111111111111","2.57277777777778",NA
"39","0007A5DF18","mixed3","5","1","0.0377777777777778","0.145","0.149444444444444","0.203055555555556","0.941388888888889","1.72027777777778",NA,NA,NA
"40","0007A5D36A","mixed3","3","0","0.0497222222222222","0.0716666666666667","2.57277777777778",NA,NA,NA,NA,NA,NA
"41","0007A5D467","mixed3","4","1","0.0527777777777778","0.525","2.00722222222222","2.67166666666667",NA,"4.06416666666667",NA,NA,NA
"42","0007A5D1AF","mixed3","5","4","0.0533333333333333","0.123611111111111","0.172222222222222","0.752222222222222","0.801111111111111","0.3","1.515","1.5225","1.53027777777778"
"43","0007A5DA82","mixed3","5","4","0.0608333333333333","0.838611111111111","1.10888888888889","3.01694444444444","4.2175","0.751388888888889","1.71888888888889","2.93972222222222","3.03027777777778"
"44","0007A5CA53","mixed3","5","4","0.0647222222222222","0.106666666666667","0.868055555555556","1.09722222222222","1.55305555555556","0.0930555555555555","3.85138888888889","3.90583333333333","4.82972222222222"
"45","0007A38814","mixed3","5","4","0.0666666666666667","0.0880555555555556","0.123611111111111","0.234722222222222","0.253611111111111","0.137222222222222","0.281388888888889","0.931111111111111","2.44944444444444"
"46","0007A3AA3B","mixed3","5","4","0.0758333333333333","0.2","0.238888888888889","0.257222222222222","0.3275","0.665","1.10833333333333","2.34944444444444","4.19388888888889"
"47","0007A39373","mixed3","4","2","0.0758333333333333","0.199444444444444","3.57972222222222","4.21861111111111",NA,"0.0913888888888889","4.75444444444444",NA,NA
"48","0007A5D487","mixed3","4","1","0.0816666666666667","0.266388888888889","1.04194444444444","1.18916666666667",NA,"3.56972222222222",NA,NA,NA
"49","0007A5CB4B","mixed3","5","2","0.130277777777778","0.214166666666667","0.617222222222222","0.742222222222222","4.67888888888889","0.0988888888888889","2.22638888888889",NA,NA
"50","0007A5D122","mixed3","2","4","0.0991666666666667","0.125277777777778",NA,NA,NA,"1.74166666666667","1.88361111111111","1.92944444444444","2.2"
"51","0007A5C9CD","mixed3","3","3","0.701111111111111","0.71","4.97361111111111",NA,NA,"0.102777777777778","3.93694444444444","4.48388888888889",NA
"52","0007A5D781","mixed3","5","4","0.105833333333333","0.128333333333333","0.155277777777778","0.521666666666667","2.1075","2.16361111111111","3.66333333333333","3.68222222222222","3.7025"
"53","0007A5DEAF","mixed3","5","2","0.116111111111111","0.211944444444444","0.316388888888889","0.7825","0.8","0.106666666666667","4.68611111111111",NA,NA
"54","0007A5C865","mixed3","3","1","0.124166666666667","0.941944444444444","1.75166666666667",NA,NA,"4.38694444444444",NA,NA,NA
"55","0007A38300","mixed3","4","4","0.125555555555556","0.380277777777778","0.625277777777778","1.41111111111111",NA,"3.20805555555556","3.27833333333333","3.41388888888889","3.64083333333333"
